rmct_term_id,preferred_label,alternative_labels,broader_dimension,narrower_category,n_companies,total_mentions,company_coverage_percent,final_term_status,source_types
RMCT_TERM_0128,designed,designed,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,283,718,31.87,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0153,designed built,designed built,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,16,33,1.8,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0134,designed manufactured,designed manufactured,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,36,54,4.05,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0141,designed meet,designed meet,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,24,36,2.7,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0184,designed provide,designed provide,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,10,11,1.13,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0142,designer,designer,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,22,31,2.48,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0132,designers,designers,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,37,84,4.17,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0130,designing,designing,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,85,133,9.57,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0173,designing building,designing building,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,11,17,1.24,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0147,designing manufacturing,designing manufacturing,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,18,26,2.03,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0129,designs,designs,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,151,318,17.0,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0157,designs manufactures,designs manufactures,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,14,17,1.58,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0161,detailed design,detailed design,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,13,19,1.46,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0136,engineering design,engineering design,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,31,74,3.49,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0174,equipment designed,equipment designed,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,11,26,1.24,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0158,experience design,experience design,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,14,15,1.58,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0159,expertise design,expertise design,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,14,26,1.58,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0166,homepage design,homepage design,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,12,12,1.35,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0185,house design,house design,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,10,17,1.13,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0154,in house design,in-house design,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,16,23,1.8,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0175,including design,including design,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,11,12,1.24,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0148,initial design,initial design,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,17,29,1.91,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0127,product design,product design,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,24,44,2.7,core_term,literature_seed; website_validated_seed
RMCT_TERM_0143,products designed,products designed,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,22,29,2.48,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0167,services design,services design,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,12,22,1.35,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0168,services designed,services designed,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,12,14,1.35,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0176,solutions design,solutions design,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,11,13,1.24,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0140,solutions designed,solutions designed,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,28,36,3.15,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0162,specialists design,specialists design,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,13,17,1.46,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0149,specifically designed,specifically designed,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,17,34,1.91,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0177,support design,support design,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,11,14,1.24,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0169,systems design,systems design,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,12,20,1.35,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0155,systems designed,systems designed,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,15,31,1.69,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0170,technical design,technical design,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,12,16,1.35,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0187,tool design,tool design,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,9,16,1.01,validated_term,literature_seed; website_validated_seed
RMCT_TERM_0193,development production,development production,"Design, Engineering & Product Lifecycle Support",Engineering support,13,19,1.46,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0192,engineering solutions,engineering solutions,"Design, Engineering & Product Lifecycle Support",Engineering support,59,136,6.64,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0190,engineering support,engineering support,"Design, Engineering & Product Lifecycle Support",Engineering support,20,25,2.25,core_term,literature_seed; website_validated_seed
